acc,acc_new,cov,cov_new
0.275,0.545,0.6979166666666667,0.8425
0.33,0.59,0.7459166666666662,0.8589166666666667
0.405,0.62,0.7834166666666661,0.8692499999999999
0.475,0.635,0.8119166666666664,0.8752500000000001
0.52,0.665,0.8334166666666664,0.8839166666666667
0.56,0.685,0.8468333333333333,0.8925833333333334
0.585,0.695,0.8565000000000002,0.8980833333333337
0.625,0.725,0.8678333333333335,0.9050833333333336
0.655,0.745,0.8810833333333333,0.9141666666666669
0.685,0.765,0.8969166666666669,0.9237500000000002
0.73,0.78,0.9137500000000002,0.9285000000000001
0.77,0.81,0.9258333333333336,0.9364166666666668
0.785,0.815,0.9293333333333336,0.9376666666666668
0.795,0.82,0.9330833333333334,0.9401666666666668
0.82,0.835,0.9397500000000001,0.9443333333333334
0.83,0.835,0.9443333333333334,0.9455833333333333
